Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,MF,MAXIMUM_PACKAGE_HEIGHT,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Description_1,Availability,MANUFACTURER,Sim.Device,Sim.Pins
A1,1,Arduino_Nano_ESP32,Arduino_Nano,,,,tht,"Arduino Nano board based on the ESP32-S3 with a dual-core 240 MHz processor, 384 kB ROM, 512 kB SRAM. Operates at 3.3V, with 5V USB-C® input and 6-21V VIN. Features Wi-Fi®, Bluetooth® LE, digital and analog pins, and supports SPI, I2C, UART, I2S, and CAN.",,,,,,,,,,,,,
BT1,1,BK-18650-PC8,BAT_BK-18650-PC8,None,,,tht,,MPD,21.54 mm,None,https://www.snapeda.com/parts/BK-18650-PC8/MPD/view-part/?ref=eda,Manufacturer Recommendations,L,https://www.snapeda.com/parts/BK-18650-PC8/MPD/view-part/?ref=snap,BK-18650-PC8,Battery Holder (Open) 18650 4 Cell PC Pin,In Stock,MPD,,
BZ1,1,Buzzer,Buzzer_15x7.5RM7.6,,,,tht,"Buzzer, polarized",,,,,,,,,,,,,
"C1, C11, C2",3,100uF,CP_Radial_D5.0mm_P2.00mm,,,,tht,Polarized capacitor,,,,,,,,,,,,,
"C10, C13, C3, C4, C5, C6, C7, C8, C9",9,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,,,,,,,,
"C12, C16, C17, C18",4,C,C_Disc_D5.0mm_W2.5mm_P2.50mm,,,,tht,Unpolarized capacitor,,,,,,,,,,,,,
C14,1,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,smt,Unpolarized capacitor,,,,,,,,,,,,,
D1,1,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,,,,tht,"1000V 1A General Purpose Rectifier Diode, DO-41",,,,,,,,,,,,D,1=K 2=A
J1,1,Jack-DC,BarrelJack_CUI_PJ-063AH_Horizontal_CircularHoles,,,,tht,DC Barrel Jack,,,,,,,,,,,,,
J2,1,Conn_01x02_MountingPin,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connectable mounting pin connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,,
"J3, J4, J6, J7",4,Screw_Terminal_01x02,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",,,,tht,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,,
J5,1,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated",,,,,,,,,,,,,
J8,1,Conn_01x02_Pin,PADS,,,,smt,"Generic connector, single row, 01x02, script generated",,,,,,,,,,,,,
Q1,1,BD139,TO-126-3_Vertical,,,,tht,"1.5A Ic, 80V Vce, Low Voltage Transistor, TO-126",,,,,,,,,,,,,
"Q10, Q6, Q7, Q9",4,BC547,TO-92_Inline,,,,tht,"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92",,,,,,,,,,,,,
"Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q19",8,IRLZ44N,TO-220-3_Vertical,,,,tht,"47A Id, 55V Vds, 22mOhm Rds Single N-Channel HEXFET Power MOSFET, TO-220AB",,,,,,,,,,,,,
"Q18, Q20, Q21, Q22",4,FQP27P06,TO-220-3_Vertical,,,,tht,"-27A Id, -60V Vds, QFET P-Channel MOSFET, TO-220",,,,,,,,,,,,,
"Q2, Q23, Q3, Q8",4,AO3401A,SOT-23,,,,smt,"-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23",,,,,,,,,,,,,
"R1, R21, R32, R36",4,4.7K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,,,,,,,,,,,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R4, R5, R6, R7, R8, R9",16,100K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,,,,,,,,,,,
"R2, R20, R3, R35, R43, R50",6,10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,,,,,,,,,,,
R22,1,1K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,,,,,,,,,,,
R23,1,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,,,,,,,,,,,
"R33, R34, R37, R38, R39, R40, R41, R42, R44",9,470R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,,,,,,,,,,,
SW1,1,SW_Push,SW_PUSH_6mm,,,,tht,"Push button switch, generic, two pins",,,,,,,,,,,,,
"TP5100_Module1, TP5100_Module2, TP5100_Module3, TP5100_Module4",4,~,Untitled,,,,tht,,,,,,,,,,,,,,
"U1, U2, U3, U4, U7",5,DS18B20,TO-92_Inline,,,,tht,Programmable Resolution 1-Wire Digital Thermometer TO-92,,,,,,,,,,,,,
U5,1,74HC595,DIP-16_W7.62mm,,,,tht,8-bit serial in/out Shift Register 3-State Outputs,,,,,,,,,,,,,
"U6, U9",2,ZC261500,MODULE_ZC261500,None,,,tht,,YKS,NA,None,https://www.snapeda.com/parts/ZC261500/YKS/view-part/?ref=eda,Manufacturer Recommendations,NA,https://www.snapeda.com/parts/ZC261500/YKS/view-part/?ref=snap,ZC261500,ADS1115 Module ADC 4 channel with Pro Gain Amplifier for Arduino RPi,Not in stock,YKS,,
