pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
88.11,-68.5,180.0,top,A1,,,Arduino_Nano,Arduino_Nano_ESP32,tht
114.61,-144.5,-90.0,bottom,BT1,,None,BAT_BK-18650-PC8,BK-18650-PC8,tht
147.61,-90.0,180.0,bottom,BZ1,,,Buzzer_15x7.5RM7.6,Buzzer,tht
97.61,-46.044888,-90.0,top,C1,,,CP_Radial_D5.0mm_P2.00mm,100uF,tht
120.3475,-64.0,0.0,top,C10,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt
118.654888,-86.0,0.0,top,C11,,,CP_Radial_D5.0mm_P2.00mm,100uF,tht
151.61,-117.0,180.0,top,C12,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,C,tht
80.11,-34.0,-90.0,top,C13,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt
78.11,-34.0,-90.0,top,C14,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10nF,smt
132.36,-115.5,180.0,top,C16,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,C,tht
112.86,-115.5,180.0,top,C17,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,C,tht
93.36,-116.0,180.0,top,C18,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,C,tht
103.61,-46.044887,-90.0,top,C2,,,CP_Radial_D5.0mm_P2.00mm,100uF,tht
131.71,-64.0,0.0,top,C3,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt
113.335,-47.5,180.0,top,C4,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt
126.21,-64.0,0.0,top,C5,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt
119.835,-47.5,180.0,top,C6,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt
130.9725,-47.5,0.0,top,C7,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt
125.11,-48.0,180.0,top,C8,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt
115.71,-64.0,0.0,top,C9,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100nF,smt
147.61,-79.5,180.0,top,D1,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4007,tht
101.11,-36.5,180.0,top,J1,,,BarrelJack_CUI_PJ-063AH_Horizontal_CircularHoles,Jack-DC,tht
126.11,-79.5,0.0,top,J2,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02_MountingPin,tht
144.11,-164.0,0.0,top,J3,,,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",Screw_Terminal_01x02,tht
104.11,-164.3675,0.0,top,J4,,,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",Screw_Terminal_01x02,tht
149.11,-53.5,0.0,bottom,J5,,,PinSocket_1x04_P2.54mm_Vertical,Conn_01x04_Socket,tht
86.11,-164.0,0.0,top,J6,,,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",Screw_Terminal_01x02,tht
125.11,-164.5,0.0,top,J7,,,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",Screw_Terminal_01x02,tht
143.61,-31.0,90.0,top,J8,,,PADS,Conn_01x02_Pin,smt
114.83,-81.375,0.0,top,Q1,,,TO-126-3_Vertical,BD139,tht
86.84,-132.36,0.0,top,Q10,,,TO-92_Inline,BC547,tht
104.53,-156.3675,0.0,top,Q11,,,TO-220-3_Vertical,IRLZ44N,tht
104.57,-147.8675,0.0,top,Q12,,,TO-220-3_Vertical,IRLZ44N,tht
144.03,-157.0,0.0,top,Q13,,,TO-220-3_Vertical,IRLZ44N,tht
86.07,-156.45,0.0,top,Q14,,,TO-220-3_Vertical,IRLZ44N,tht
145.11,-148.0,0.0,top,Q15,,,TO-220-3_Vertical,IRLZ44N,tht
125.03,-157.1325,0.0,top,Q16,,,TO-220-3_Vertical,IRLZ44N,tht
125.03,-147.95,0.0,top,Q17,,,TO-220-3_Vertical,IRLZ44N,tht
145.03,-141.5,0.0,top,Q18,,,TO-220-3_Vertical,FQP27P06,tht
86.03,-147.5,0.0,top,Q19,,,TO-220-3_Vertical,IRLZ44N,tht
107.0475,-103.45,0.0,top,Q2,,,SOT-23,AO3401A,smt
104.53,-141.5,0.0,top,Q20,,,TO-220-3_Vertical,FQP27P06,tht
86.07,-140.95,0.0,top,Q21,,,TO-220-3_Vertical,FQP27P06,tht
125.03,-141.45,0.0,top,Q22,,,TO-220-3_Vertical,FQP27P06,tht
125.6725,-103.0,0.0,top,Q23,,,SOT-23,AO3401A,smt
86.6725,-103.5,0.0,top,Q3,,,SOT-23,AO3401A,smt
105.84,-133.36,0.0,top,Q6,,,TO-92_Inline,BC547,tht
146.07,-132.5,0.0,top,Q7,,,TO-92_Inline,BC547,tht
145.6725,-103.0,0.0,top,Q8,,,SOT-23,AO3401A,smt
127.34,-133.36,0.0,top,Q9,,,TO-92_Inline,BC547,tht
77.66,-84.75,180.0,top,R1,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4.7K,smt
118.835,-45.0,0.0,top,R10,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
118.835,-42.0,180.0,top,R11,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
126.66,-69.5,180.0,top,R12,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
126.71,-66.5,0.0,top,R13,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
132.21,-66.5,0.0,top,R14,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
124.4725,-45.0,180.0,top,R15,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
116.21,-66.5,180.0,top,R16,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
116.21,-69.5,0.0,top,R17,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
121.3475,-69.5,180.0,top,R18,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
121.3475,-66.5,0.0,top,R19,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
77.66,-81.0,0.0,top,R2,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
146.66,-111.5,0.0,top,R20,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
149.11,-151.5,180.0,top,R21,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4.7K,smt
91.61,-75.95,-90.0,top,R22,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1K,smt
93.61,-76.0,-90.0,top,R23,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1k,smt
77.66,-78.5,180.0,top,R3,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
107.61,-151.3675,180.0,top,R32,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4.7K,smt
88.11,-151.0,0.0,top,R33,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470R,smt
86.61,-128.5,180.0,top,R34,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470R,smt
79.69,-108.5,0.0,top,R35,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
128.11,-151.5,180.0,top,R36,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4.7K,smt
107.11,-137.0,180.0,top,R37,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470R,smt
147.61,-128.5,180.0,top,R38,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470R,smt
146.61,-136.5,180.0,top,R39,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470R,smt
132.21,-69.5,180.0,top,R4,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
87.61,-136.0,180.0,top,R40,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470R,smt
128.11,-136.5,0.0,top,R41,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470R,smt
127.11,-129.5,180.0,top,R42,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470R,smt
119.16,-109.0,0.0,top,R43,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
108.61,-129.5,180.0,top,R44,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470R,smt
130.4725,-42.0,180.0,top,R5,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
99.56,-108.95,0.0,top,R50,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
130.4725,-45.0,0.0,top,R6,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
124.5225,-42.0,0.0,top,R7,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
112.9725,-42.0,0.0,top,R8,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
112.9725,-45.0,180.0,top,R9,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100K,smt
88.5,-80.0,180.0,bottom,SW1,,,SW_PUSH_6mm,SW_Push,tht
